Sample	cat16-1.trees	cat16-1.sequence06_sequence11_sequence12	cat16-1.sequence06_sequence11_sequence12_sequence08_sequence13	cat16-1.sequence06_sequence11_sequence12_sequence08_sequence13_sequence10	cat16-1.sequence01_sequence15_sequence03_sequence16_sequence06_sequence11_sequence12_sequence08_sequence13_sequence10	cat16-1.sequence01_sequence15_sequence03_sequence16_sequence06_sequence11_sequence12_sequence08_sequence13_sequence10_sequence05_sequence14	cat16-1.sequence01_sequence15_sequence03_sequence16_sequence06_sequence11_sequence12_sequence08_sequence13_sequence10_sequence05_sequence14_sequence04_sequence09_sequence07	cat16-1.sequence01_sequence15_sequence03_sequence16_sequence06_sequence11_sequence12_sequence08_sequence13_sequence10_sequence05_sequence14_sequence04_sequence09_sequence07_sequence02	cat16-1.sequence01_sequence15	cat16-1.sequence11_sequence12	cat16-1.sequence08_sequence13	cat16-1.sequence05_sequence14	cat16-1.sequence04_sequence09	cat16-1.sequence04_sequence09_sequence07	cat16-1.sequence01_sequence15_sequence03	cat16-1.sequence01_sequence15_sequence03_sequence16	
312	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
316	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
320	24.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
324	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
328	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
332	24.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
336	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
340	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
344	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
348	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
352	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
356	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
360	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
364	24.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
368	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
372	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
376	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
380	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
384	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	
