Sample	cat16-68.trees	cat16-68.sequence04_sequence16	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16_sequence03_sequence05	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16_sequence03_sequence05_sequence09	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16_sequence03_sequence05_sequence09_sequence06_sequence07	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16_sequence03_sequence05_sequence09_sequence06_sequence07_sequence14	cat16-68.sequence01_sequence02_sequence13_sequence04_sequence16_sequence03_sequence05_sequence09_sequence06_sequence07_sequence14_sequence08_sequence11_sequence10_sequence12_sequence15	cat16-68.sequence03_sequence05	cat16-68.sequence06_sequence07	cat16-68.sequence08_sequence11	cat16-68.sequence08_sequence11_sequence10	cat16-68.sequence12_sequence15	cat16-68.sequence08_sequence11_sequence10_sequence12_sequence15	cat16-68.sequence02_sequence13	cat16-68.sequence01_sequence02_sequence13	
36	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
37	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
38	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
39	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
40	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
41	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
42	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
43	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
44	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
45	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
46	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
47	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
48	24.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
49	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
50	26.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
51	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
