Sample	cat16-44.trees	cat16-44.sequence07_sequence13	cat16-44.sequence07_sequence13_sequence08	cat16-44.sequence01_sequence06_sequence04_sequence07_sequence13_sequence08	cat16-44.sequence01_sequence06_sequence04_sequence07_sequence13_sequence08_sequence03	cat16-44.sequence01_sequence06_sequence04_sequence07_sequence13_sequence08_sequence03_sequence10	cat16-44.sequence01_sequence06_sequence04_sequence07_sequence13_sequence08_sequence03_sequence10_sequence02_sequence16_sequence14_sequence15_sequence09_sequence12_sequence05_sequence11	cat16-44.sequence01_sequence06	cat16-44.sequence02_sequence16	cat16-44.sequence14_sequence15	cat16-44.sequence02_sequence16_sequence14_sequence15	cat16-44.sequence09_sequence12	cat16-44.sequence02_sequence16_sequence14_sequence15_sequence09_sequence12	cat16-44.sequence05_sequence11	cat16-44.sequence02_sequence16_sequence14_sequence15_sequence09_sequence12_sequence05_sequence11	cat16-44.sequence01_sequence06_sequence04	
51	24.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
52	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
53	24.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
54	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
55	26.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
56	24.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
57	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
58	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
59	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
60	26.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
61	24.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
62	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
63	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
64	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
65	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
66	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
