Sample	cat16-53.trees	cat16-53.sequence04_sequence13	cat16-53.sequence02_sequence04_sequence13	cat16-53.sequence02_sequence04_sequence13_sequence12	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16_sequence14	cat16-53.sequence01_sequence07_sequence09_sequence02_sequence04_sequence13_sequence12_sequence10_sequence05_sequence03_sequence11_sequence15_sequence16_sequence14_sequence06_sequence08	cat16-53.sequence01_sequence07	cat16-53.sequence11_sequence15	cat16-53.sequence03_sequence11_sequence15	cat16-53.sequence03_sequence11_sequence15_sequence16	cat16-53.sequence06_sequence08	cat16-53.sequence01_sequence07_sequence09	
153	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
154	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
155	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
156	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
157	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
158	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
159	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
160	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
161	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
162	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
163	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
164	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
165	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
166	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
167	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
168	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
169	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
170	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
171	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
172	28.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
173	24.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
174	26.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
