Sample	cat16-56.trees	cat16-56.sequence03_sequence13	cat16-56.sequence01_sequence11_sequence16_sequence03_sequence13	cat16-56.sequence01_sequence11_sequence16_sequence03_sequence13_sequence02_sequence15_sequence04_sequence10_sequence08	cat16-56.sequence01_sequence11_sequence16_sequence03_sequence13_sequence02_sequence15_sequence04_sequence10_sequence08_sequence05_sequence07_sequence06	cat16-56.sequence01_sequence11_sequence16_sequence03_sequence13_sequence02_sequence15_sequence04_sequence10_sequence08_sequence05_sequence07_sequence06_sequence09_sequence12_sequence14	cat16-56.sequence01_sequence11	cat16-56.sequence02_sequence15	cat16-56.sequence04_sequence10	cat16-56.sequence04_sequence10_sequence08	cat16-56.sequence02_sequence15_sequence04_sequence10_sequence08	cat16-56.sequence05_sequence07	cat16-56.sequence05_sequence07_sequence06	cat16-56.sequence09_sequence12	cat16-56.sequence09_sequence12_sequence14	cat16-56.sequence01_sequence11_sequence16	
174	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
175	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
176	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
177	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
178	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
179	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
180	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
181	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
182	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
183	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
184	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
185	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
186	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
