Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
192	8.0	1.0	1.0	1.0	0.0	
193	6.0	0.0	1.0	0.0	1.0	
194	8.0	1.0	1.0	0.0	1.0	
195	8.0	1.0	1.0	1.0	0.0	
196	8.0	1.0	0.0	1.0	1.0	
197	8.0	1.0	1.0	0.0	1.0	
198	6.0	1.0	1.0	0.0	0.0	
199	10.0	1.0	1.0	1.0	1.0	
200	4.0	0.0	0.0	1.0	0.0	
201	8.0	1.0	1.0	1.0	0.0	
202	6.0	1.0	0.0	1.0	0.0	
203	10.0	1.0	1.0	1.0	1.0	
204	10.0	1.0	1.0	1.0	1.0	
205	8.0	1.0	1.0	0.0	1.0	
206	10.0	1.0	1.0	1.0	1.0	
207	8.0	1.0	1.0	0.0	1.0	
208	4.0	0.0	0.0	0.0	1.0	
209	8.0	1.0	1.0	0.0	1.0	
210	8.0	1.0	0.0	1.0	1.0	
211	8.0	1.0	1.0	0.0	1.0	
212	6.0	0.0	1.0	0.0	1.0	
213	8.0	1.0	1.0	1.0	0.0	
214	8.0	1.0	0.0	1.0	1.0	
215	8.0	1.0	1.0	0.0	1.0	
216	6.0	1.0	0.0	0.0	1.0	
217	6.0	0.0	1.0	0.0	1.0	
218	8.0	1.0	1.0	1.0	0.0	
219	10.0	1.0	1.0	1.0	1.0	
220	8.0	1.0	1.0	0.0	1.0	
221	8.0	1.0	0.0	1.0	1.0	
222	8.0	1.0	1.0	0.0	1.0	
223	6.0	0.0	1.0	0.0	1.0	
224	8.0	1.0	1.0	0.0	1.0	
225	8.0	1.0	0.0	1.0	1.0	
226	6.0	1.0	0.0	0.0	1.0	
227	10.0	1.0	1.0	1.0	1.0	
228	10.0	1.0	1.0	1.0	1.0	
229	8.0	1.0	0.0	1.0	1.0	
230	4.0	0.0	0.0	0.0	1.0	
231	10.0	1.0	1.0	1.0	1.0	
232	10.0	1.0	1.0	1.0	1.0	
233	6.0	0.0	1.0	0.0	1.0	
234	8.0	1.0	0.0	1.0	1.0	
235	6.0	1.0	0.0	1.0	0.0	
236	6.0	0.0	0.0	1.0	1.0	
237	8.0	1.0	1.0	0.0	1.0	
238	10.0	1.0	1.0	1.0	1.0	
239	8.0	1.0	1.0	0.0	1.0	
240	8.0	1.0	1.0	0.0	1.0	
241	6.0	1.0	0.0	0.0	1.0	
242	8.0	1.0	1.0	1.0	0.0	
243	8.0	1.0	1.0	0.0	1.0	
244	8.0	1.0	0.0	1.0	1.0	
245	10.0	1.0	1.0	1.0	1.0	
246	6.0	0.0	0.0	1.0	1.0	
247	8.0	0.0	1.0	1.0	1.0	
248	8.0	0.0	1.0	1.0	1.0	
249	10.0	1.0	1.0	1.0	1.0	
250	6.0	0.0	1.0	0.0	1.0	
251	8.0	1.0	0.0	1.0	1.0	
252	10.0	1.0	1.0	1.0	1.0	
253	6.0	0.0	1.0	1.0	0.0	
254	10.0	1.0	1.0	1.0	1.0	
255	8.0	1.0	1.0	0.0	1.0	
256	8.0	1.0	0.0	1.0	1.0	
257	4.0	0.0	0.0	1.0	0.0	
258	10.0	1.0	1.0	1.0	1.0	
259	8.0	1.0	0.0	1.0	1.0	
260	8.0	1.0	1.0	0.0	1.0	
261	10.0	1.0	1.0	1.0	1.0	
262	8.0	1.0	0.0	1.0	1.0	
263	8.0	0.0	1.0	1.0	1.0	
264	8.0	1.0	0.0	1.0	1.0	
265	8.0	1.0	1.0	0.0	1.0	
266	8.0	1.0	1.0	0.0	1.0	
267	4.0	0.0	0.0	1.0	0.0	
268	6.0	1.0	0.0	0.0	1.0	
269	10.0	1.0	1.0	1.0	1.0	
270	4.0	0.0	0.0	1.0	0.0	
271	6.0	1.0	0.0	0.0	1.0	
272	10.0	1.0	1.0	1.0	1.0	
273	10.0	1.0	1.0	1.0	1.0	
274	6.0	1.0	0.0	0.0	1.0	
275	8.0	0.0	1.0	1.0	1.0	
276	8.0	1.0	1.0	0.0	1.0	
277	8.0	1.0	0.0	1.0	1.0	
278	8.0	1.0	1.0	0.0	1.0	
279	10.0	1.0	1.0	1.0	1.0	
280	10.0	1.0	1.0	1.0	1.0	
281	6.0	1.0	1.0	0.0	0.0	
282	10.0	1.0	1.0	1.0	1.0	
283	10.0	1.0	1.0	1.0	1.0	
284	6.0	1.0	0.0	1.0	0.0	
285	6.0	1.0	0.0	0.0	1.0	
286	8.0	1.0	1.0	0.0	1.0	
287	6.0	0.0	1.0	0.0	1.0	
288	8.0	1.0	1.0	0.0	1.0	
289	6.0	1.0	0.0	0.0	1.0	
290	4.0	1.0	0.0	0.0	0.0	
291	8.0	1.0	0.0	1.0	1.0	
292	6.0	0.0	1.0	0.0	1.0	
293	8.0	0.0	1.0	1.0	1.0	
294	8.0	0.0	1.0	1.0	1.0	
295	4.0	0.0	0.0	0.0	1.0	
296	4.0	1.0	0.0	0.0	0.0	
297	8.0	1.0	1.0	0.0	1.0	
298	10.0	1.0	1.0	1.0	1.0	
299	10.0	1.0	1.0	1.0	1.0	
300	8.0	1.0	1.0	0.0	1.0	
301	8.0	1.0	1.0	0.0	1.0	
302	8.0	1.0	1.0	0.0	1.0	
303	8.0	1.0	1.0	0.0	1.0	
304	8.0	1.0	0.0	1.0	1.0	
305	6.0	0.0	1.0	0.0	1.0	
306	6.0	1.0	0.0	0.0	1.0	
307	6.0	1.0	0.0	0.0	1.0	
308	8.0	1.0	1.0	0.0	1.0	
309	10.0	1.0	1.0	1.0	1.0	
310	8.0	1.0	1.0	0.0	1.0	
311	8.0	1.0	1.0	1.0	0.0	
312	6.0	1.0	1.0	0.0	0.0	
313	8.0	1.0	1.0	0.0	1.0	
314	6.0	0.0	1.0	0.0	1.0	
315	8.0	1.0	1.0	0.0	1.0	
316	10.0	1.0	1.0	1.0	1.0	
317	10.0	1.0	1.0	1.0	1.0	
318	8.0	1.0	1.0	0.0	1.0	
319	10.0	1.0	1.0	1.0	1.0	
320	8.0	1.0	0.0	1.0	1.0	
321	8.0	1.0	1.0	0.0	1.0	
322	8.0	1.0	0.0	1.0	1.0	
323	10.0	1.0	1.0	1.0	1.0	
324	6.0	1.0	1.0	0.0	0.0	
325	10.0	1.0	1.0	1.0	1.0	
326	10.0	1.0	1.0	1.0	1.0	
327	8.0	1.0	1.0	0.0	1.0	
328	8.0	1.0	1.0	0.0	1.0	
329	10.0	1.0	1.0	1.0	1.0	
330	10.0	1.0	1.0	1.0	1.0	
331	8.0	0.0	1.0	1.0	1.0	
332	8.0	1.0	1.0	0.0	1.0	
333	10.0	1.0	1.0	1.0	1.0	
334	8.0	1.0	0.0	1.0	1.0	
335	10.0	1.0	1.0	1.0	1.0	
336	10.0	1.0	1.0	1.0	1.0	
337	10.0	1.0	1.0	1.0	1.0	
338	4.0	0.0	0.0	1.0	0.0	
339	10.0	1.0	1.0	1.0	1.0	
340	8.0	1.0	1.0	0.0	1.0	
341	10.0	1.0	1.0	1.0	1.0	
342	6.0	1.0	0.0	0.0	1.0	
343	4.0	0.0	0.0	0.0	1.0	
344	4.0	0.0	0.0	1.0	0.0	
345	6.0	1.0	1.0	0.0	0.0	
346	8.0	1.0	1.0	0.0	1.0	
347	4.0	0.0	0.0	0.0	1.0	
348	4.0	1.0	0.0	0.0	0.0	
349	8.0	1.0	1.0	1.0	0.0	
350	8.0	1.0	1.0	1.0	0.0	
351	2.0	0.0	0.0	0.0	0.0	
352	8.0	0.0	1.0	1.0	1.0	
353	2.0	0.0	0.0	0.0	0.0	
354	8.0	1.0	1.0	0.0	1.0	
355	8.0	1.0	1.0	0.0	1.0	
356	10.0	1.0	1.0	1.0	1.0	
357	6.0	1.0	1.0	0.0	0.0	
358	8.0	1.0	0.0	1.0	1.0	
359	10.0	1.0	1.0	1.0	1.0	
360	8.0	1.0	1.0	0.0	1.0	
361	4.0	0.0	1.0	0.0	0.0	
362	8.0	1.0	1.0	1.0	0.0	
363	6.0	1.0	0.0	1.0	0.0	
364	8.0	1.0	0.0	1.0	1.0	
365	6.0	0.0	1.0	0.0	1.0	
366	10.0	1.0	1.0	1.0	1.0	
367	8.0	1.0	1.0	1.0	0.0	
368	8.0	0.0	1.0	1.0	1.0	
369	8.0	1.0	0.0	1.0	1.0	
370	10.0	1.0	1.0	1.0	1.0	
371	8.0	1.0	1.0	0.0	1.0	
372	8.0	1.0	1.0	1.0	0.0	
373	6.0	1.0	0.0	1.0	0.0	
374	6.0	0.0	0.0	1.0	1.0	
375	8.0	1.0	1.0	0.0	1.0	
