Sample	cat16-1.trees	cat16-1.sequence13_sequence08	cat16-1.sequence11_sequence12_sequence06_sequence08	cat16-1.sequence11_sequence12_sequence13_sequence06	cat16-1.sequence04_sequence07_sequence09	cat16-1.sequence01_sequence16_sequence15	cat16-1.sequence01_sequence03_sequence15	cat16-1.sequence16_sequence03	cat16-1.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-1.sequence01_sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-1.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
232	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
233	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
234	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
235	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
236	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
237	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
238	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
239	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
240	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
241	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
242	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
243	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
244	28.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
245	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
246	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
247	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
248	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
249	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
250	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
251	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
252	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
253	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
254	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
255	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
256	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
257	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
258	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
259	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
260	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
261	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
262	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
263	28.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
264	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
265	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
266	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
267	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
268	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
269	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
270	28.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
271	30.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
272	26.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
