Sample	cat16-15.trees	cat16-15.sequence12_sequence09_sequence03	cat16-15.sequence07_sequence09_sequence03_sequence10	cat16-15.sequence04_sequence07_sequence12_sequence09_sequence03_sequence10_sequence08	cat16-15.sequence07_sequence12_sequence10	cat16-15.sequence13_sequence16	cat16-15.sequence13_sequence02	cat16-15.sequence11_sequence13_sequence16_sequence02_sequence08	cat16-15.sequence16_sequence02	cat16-15.sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10	
217	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
218	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
219	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
220	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
222	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
223	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
224	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
225	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
226	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
227	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
228	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
229	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
230	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
231	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
232	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
233	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
234	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
235	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
236	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
237	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
238	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
239	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
240	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
241	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
242	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
243	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
244	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
245	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
246	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
247	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
248	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
249	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
250	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
251	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
252	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
253	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
254	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
255	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
256	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
257	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
258	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
259	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
260	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
261	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
262	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
263	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
264	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
265	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
266	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
267	28.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	
268	28.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
269	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
