Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence05_sequence07_sequence02	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	
154	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
155	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
156	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
157	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
158	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
159	24.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
160	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
161	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
162	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
163	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
164	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
165	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
166	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
167	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
168	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
169	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
170	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
171	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
172	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
173	26.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
174	24.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
175	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
176	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
177	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
178	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
179	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
180	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
181	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
182	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
183	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
184	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
185	24.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
186	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
187	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
188	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
189	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
190	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
191	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
192	24.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
193	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
194	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
195	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
196	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
197	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
198	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
199	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
200	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
201	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
202	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
203	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
204	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
205	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
206	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
207	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
208	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
209	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
210	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
211	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
212	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
213	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
214	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
215	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
216	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
217	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
218	28.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
219	24.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
220	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
221	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
222	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
