Sample	cat16-10.trees	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
716	30.0	1.0	0.0	0.0	
717	30.0	1.0	0.0	0.0	
718	30.0	1.0	0.0	0.0	
719	30.0	1.0	0.0	0.0	
720	30.0	1.0	0.0	0.0	
721	30.0	1.0	0.0	0.0	
722	30.0	1.0	0.0	0.0	
723	28.0	0.0	0.0	1.0	
724	30.0	1.0	0.0	0.0	
725	30.0	1.0	0.0	0.0	
726	30.0	1.0	0.0	0.0	
727	30.0	1.0	0.0	0.0	
728	30.0	1.0	0.0	0.0	
729	30.0	1.0	0.0	0.0	
730	30.0	1.0	0.0	0.0	
731	30.0	1.0	0.0	0.0	
732	28.0	0.0	0.0	1.0	
733	28.0	0.0	1.0	0.0	
734	30.0	1.0	0.0	0.0	
735	30.0	1.0	0.0	0.0	
736	28.0	0.0	0.0	1.0	
737	30.0	1.0	0.0	0.0	
738	30.0	1.0	0.0	0.0	
739	30.0	1.0	0.0	0.0	
740	28.0	0.0	1.0	0.0	
741	30.0	1.0	0.0	0.0	
742	30.0	1.0	0.0	0.0	
743	30.0	1.0	0.0	0.0	
744	30.0	1.0	0.0	0.0	
745	30.0	1.0	0.0	0.0	
746	30.0	1.0	0.0	0.0	
747	30.0	1.0	0.0	0.0	
748	30.0	1.0	0.0	0.0	
749	30.0	1.0	0.0	0.0	
750	30.0	1.0	0.0	0.0	
751	28.0	0.0	0.0	1.0	
752	30.0	1.0	0.0	0.0	
753	30.0	1.0	0.0	0.0	
754	30.0	1.0	0.0	0.0	
755	30.0	1.0	0.0	0.0	
756	30.0	1.0	0.0	0.0	
757	30.0	1.0	0.0	0.0	
758	30.0	1.0	0.0	0.0	
759	30.0	1.0	0.0	0.0	
760	30.0	1.0	0.0	0.0	
761	30.0	1.0	0.0	0.0	
762	28.0	0.0	1.0	0.0	
763	30.0	1.0	0.0	0.0	
764	30.0	1.0	0.0	0.0	
765	30.0	1.0	0.0	0.0	
766	30.0	1.0	0.0	0.0	
767	28.0	0.0	0.0	1.0	
768	30.0	1.0	0.0	0.0	
769	28.0	0.0	0.0	1.0	
770	30.0	1.0	0.0	0.0	
771	28.0	0.0	0.0	1.0	
772	30.0	1.0	0.0	0.0	
773	28.0	0.0	0.0	1.0	
774	30.0	1.0	0.0	0.0	
775	30.0	1.0	0.0	0.0	
776	28.0	0.0	0.0	1.0	
777	28.0	0.0	1.0	0.0	
778	28.0	0.0	1.0	0.0	
779	30.0	1.0	0.0	0.0	
780	30.0	1.0	0.0	0.0	
781	30.0	1.0	0.0	0.0	
782	30.0	1.0	0.0	0.0	
783	30.0	1.0	0.0	0.0	
784	30.0	1.0	0.0	0.0	
785	30.0	1.0	0.0	0.0	
786	28.0	0.0	0.0	1.0	
787	30.0	1.0	0.0	0.0	
788	30.0	1.0	0.0	0.0	
789	28.0	0.0	1.0	0.0	
790	28.0	0.0	1.0	0.0	
791	28.0	0.0	0.0	1.0	
792	30.0	1.0	0.0	0.0	
793	30.0	1.0	0.0	0.0	
794	28.0	0.0	0.0	1.0	
795	28.0	0.0	0.0	1.0	
796	30.0	1.0	0.0	0.0	
797	30.0	1.0	0.0	0.0	
798	28.0	0.0	1.0	0.0	
799	30.0	1.0	0.0	0.0	
800	30.0	1.0	0.0	0.0	
801	30.0	1.0	0.0	0.0	
802	30.0	1.0	0.0	0.0	
803	28.0	0.0	1.0	0.0	
804	30.0	1.0	0.0	0.0	
805	28.0	0.0	0.0	1.0	
806	30.0	1.0	0.0	0.0	
807	30.0	1.0	0.0	0.0	
808	30.0	1.0	0.0	0.0	
809	28.0	0.0	1.0	0.0	
810	28.0	0.0	0.0	1.0	
811	30.0	1.0	0.0	0.0	
812	30.0	1.0	0.0	0.0	
813	30.0	1.0	0.0	0.0	
814	30.0	1.0	0.0	0.0	
815	30.0	1.0	0.0	0.0	
816	30.0	1.0	0.0	0.0	
817	30.0	1.0	0.0	0.0	
818	30.0	1.0	0.0	0.0	
819	30.0	1.0	0.0	0.0	
820	30.0	1.0	0.0	0.0	
821	30.0	1.0	0.0	0.0	
822	30.0	1.0	0.0	0.0	
823	30.0	1.0	0.0	0.0	
824	30.0	1.0	0.0	0.0	
825	30.0	1.0	0.0	0.0	
826	30.0	1.0	0.0	0.0	
827	30.0	1.0	0.0	0.0	
828	30.0	1.0	0.0	0.0	
829	30.0	1.0	0.0	0.0	
830	30.0	1.0	0.0	0.0	
831	30.0	1.0	0.0	0.0	
832	30.0	1.0	0.0	0.0	
833	30.0	1.0	0.0	0.0	
834	30.0	1.0	0.0	0.0	
835	28.0	0.0	0.0	1.0	
836	30.0	1.0	0.0	0.0	
837	30.0	1.0	0.0	0.0	
838	30.0	1.0	0.0	0.0	
839	30.0	1.0	0.0	0.0	
840	28.0	0.0	0.0	1.0	
841	30.0	1.0	0.0	0.0	
842	30.0	1.0	0.0	0.0	
843	30.0	1.0	0.0	0.0	
844	30.0	1.0	0.0	0.0	
845	28.0	0.0	0.0	1.0	
846	30.0	1.0	0.0	0.0	
847	28.0	0.0	0.0	1.0	
848	30.0	1.0	0.0	0.0	
849	30.0	1.0	0.0	0.0	
850	30.0	1.0	0.0	0.0	
851	30.0	1.0	0.0	0.0	
852	30.0	1.0	0.0	0.0	
853	30.0	1.0	0.0	0.0	
854	30.0	1.0	0.0	0.0	
855	30.0	1.0	0.0	0.0	
856	30.0	1.0	0.0	0.0	
857	30.0	1.0	0.0	0.0	
858	30.0	1.0	0.0	0.0	
859	30.0	1.0	0.0	0.0	
860	30.0	1.0	0.0	0.0	
861	30.0	1.0	0.0	0.0	
862	28.0	0.0	1.0	0.0	
863	30.0	1.0	0.0	0.0	
864	30.0	1.0	0.0	0.0	
865	30.0	1.0	0.0	0.0	
866	30.0	1.0	0.0	0.0	
867	30.0	1.0	0.0	0.0	
868	30.0	1.0	0.0	0.0	
869	30.0	1.0	0.0	0.0	
870	30.0	1.0	0.0	0.0	
871	28.0	0.0	1.0	0.0	
872	30.0	1.0	0.0	0.0	
873	30.0	1.0	0.0	0.0	
874	30.0	1.0	0.0	0.0	
875	30.0	1.0	0.0	0.0	
876	30.0	1.0	0.0	0.0	
877	30.0	1.0	0.0	0.0	
878	30.0	1.0	0.0	0.0	
879	30.0	1.0	0.0	0.0	
880	30.0	1.0	0.0	0.0	
881	30.0	1.0	0.0	0.0	
882	30.0	1.0	0.0	0.0	
883	30.0	1.0	0.0	0.0	
884	30.0	1.0	0.0	0.0	
885	30.0	1.0	0.0	0.0	
886	30.0	1.0	0.0	0.0	
887	30.0	1.0	0.0	0.0	
888	30.0	1.0	0.0	0.0	
889	28.0	0.0	0.0	1.0	
890	30.0	1.0	0.0	0.0	
891	28.0	0.0	0.0	1.0	
892	30.0	1.0	0.0	0.0	
893	30.0	1.0	0.0	0.0	
894	30.0	1.0	0.0	0.0	
895	30.0	1.0	0.0	0.0	
896	30.0	1.0	0.0	0.0	
897	30.0	1.0	0.0	0.0	
898	30.0	1.0	0.0	0.0	
899	28.0	0.0	0.0	1.0	
