Sample	cat16-20.trees	cat16-20.sequence05_sequence07_sequence02	cat16-20.sequence11_sequence13_sequence06_sequence08	cat16-20.sequence16_sequence06	cat16-20.sequence11_sequence13_sequence16_sequence08	cat16-20.sequence01_sequence02_sequence03	cat16-20.sequence01_sequence05_sequence07_sequence03	
311	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
312	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
313	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
314	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
315	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
316	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
317	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
318	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
319	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
320	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
321	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
322	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
323	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
324	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
325	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
326	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
327	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
328	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
329	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
330	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
331	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
332	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
333	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
334	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
335	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
336	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
337	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
338	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
339	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
340	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
341	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
342	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
343	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
344	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
345	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
346	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
347	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
348	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
349	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
350	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
351	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
352	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
353	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
354	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
355	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
356	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
357	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
358	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
359	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
360	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
361	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
362	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
363	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
