Sample	cat16-20.trees	cat16-20.sequence05_sequence07_sequence02	cat16-20.sequence11_sequence13_sequence06_sequence08	cat16-20.sequence16_sequence06	cat16-20.sequence11_sequence13_sequence16_sequence08	cat16-20.sequence01_sequence02_sequence03	cat16-20.sequence01_sequence05_sequence07_sequence03	
878	26.0	0.0	0.0	1.0	0.0	1.0	0.0	
879	26.0	0.0	0.0	1.0	0.0	0.0	1.0	
880	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
881	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
882	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
883	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
884	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
885	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
886	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
887	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
888	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
889	28.0	1.0	0.0	0.0	1.0	0.0	0.0	
890	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
891	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
892	28.0	0.0	1.0	0.0	0.0	0.0	1.0	
893	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
894	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
895	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
896	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
897	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
898	30.0	1.0	1.0	0.0	0.0	0.0	0.0	
899	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
