Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
662	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
663	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
664	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
665	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
666	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
667	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
668	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
669	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
670	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
671	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
672	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
673	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
674	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
675	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
676	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
677	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
678	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
679	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
680	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
681	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
682	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
683	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
684	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
685	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
686	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
687	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
688	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
689	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
690	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
691	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
692	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
693	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
694	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
695	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
696	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
697	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
698	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
699	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
700	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
701	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
702	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
703	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
704	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
705	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
706	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
707	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
708	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
709	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
710	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
711	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
712	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
713	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
714	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
715	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
716	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
717	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
718	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
719	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
720	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
721	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
722	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
723	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
724	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
725	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
726	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
727	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
728	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
729	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
730	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
731	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
732	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
733	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
734	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
735	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
736	24.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
737	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
738	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
739	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
740	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
741	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
742	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
743	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
744	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
745	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
746	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
747	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
748	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
749	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
750	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
751	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
752	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
753	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
754	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
755	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
756	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
757	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
758	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
759	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
760	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
761	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
762	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
763	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
764	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
765	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
766	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
767	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
768	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
769	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
770	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
771	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
772	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
773	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
774	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
775	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
776	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
777	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
778	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
779	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
780	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
781	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
782	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
783	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
784	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
785	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
786	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
787	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
788	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
789	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
790	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
791	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
792	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
793	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
794	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
795	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
796	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
797	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
798	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
799	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
800	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
801	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
802	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
803	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
804	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
805	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
806	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
807	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
808	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
809	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
810	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
811	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
812	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
813	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
814	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
815	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
816	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
817	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
818	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
819	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
820	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
821	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
822	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
823	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
824	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
825	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
826	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
827	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
828	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
829	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
830	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
831	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
832	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
833	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
834	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
835	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
836	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
837	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
838	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
839	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
840	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
841	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
842	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
843	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
844	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
845	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
846	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
847	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
848	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
849	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
850	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
851	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
852	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
853	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
854	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
855	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
856	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
857	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
858	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
859	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
860	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
861	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
862	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
863	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
864	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
865	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
866	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
867	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
868	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
869	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
870	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
871	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
872	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
873	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
874	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
875	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
876	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
877	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
878	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
879	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
880	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
881	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
882	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
883	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
884	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
885	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
886	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
887	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
888	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
889	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
890	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
891	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
892	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
893	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
894	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
895	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
896	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
897	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
898	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
899	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
