Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
130	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
131	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
132	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
133	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
134	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
135	26.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
136	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
137	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
138	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
139	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
140	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
141	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
142	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
143	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
144	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
145	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
146	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
147	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
148	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
149	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
150	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
151	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
152	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
153	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
154	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
155	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
156	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
157	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
158	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
159	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
160	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
