Sample	cat16-81.trees	cat16-81.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence12_sequence13_sequence16	cat16-81.sequence01_sequence12_sequence13_sequence16_sequence02	cat16-81.sequence01_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-81.sequence05_sequence14_sequence11_sequence06_sequence08	cat16-81.sequence01_sequence12_sequence13_sequence02	cat16-81.sequence16_sequence02	
111	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
112	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
113	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
114	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
115	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
116	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
117	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
118	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
119	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
120	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
121	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
122	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
123	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
124	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
125	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
126	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
127	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
128	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
129	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
130	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
131	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
132	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
133	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
134	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
135	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
136	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
137	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
138	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
139	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
140	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
141	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
142	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
143	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
144	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
145	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
146	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
147	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
148	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
149	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
150	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
151	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
152	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
153	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
154	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
155	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
156	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
157	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
158	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
159	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
160	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
161	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
162	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
163	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
164	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
165	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
167	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
168	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
169	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
170	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
171	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
172	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
173	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
174	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
175	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
176	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
177	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
178	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
179	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
180	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
181	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
182	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
183	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
184	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
185	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
186	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
187	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
188	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
189	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
190	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
191	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
192	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
193	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
194	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
195	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
196	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
197	28.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
198	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
199	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
200	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
201	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
202	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
203	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
204	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
205	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
206	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
207	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
208	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
209	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
210	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
211	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
212	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
213	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
214	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
215	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
216	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
217	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
218	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
219	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
220	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
221	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
222	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
223	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
224	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
225	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
226	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
