Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
232	28.0	1.0	0.0	0.0	1.0	
233	28.0	0.0	1.0	0.0	1.0	
234	28.0	1.0	0.0	0.0	1.0	
235	28.0	0.0	1.0	0.0	1.0	
236	28.0	0.0	1.0	0.0	1.0	
237	28.0	0.0	1.0	0.0	1.0	
238	28.0	0.0	1.0	0.0	1.0	
239	28.0	0.0	1.0	0.0	1.0	
240	28.0	0.0	1.0	0.0	1.0	
241	30.0	0.0	0.0	1.0	1.0	
242	28.0	0.0	1.0	0.0	1.0	
243	28.0	0.0	1.0	0.0	1.0	
244	30.0	0.0	0.0	1.0	1.0	
245	30.0	0.0	0.0	1.0	1.0	
246	28.0	0.0	1.0	0.0	1.0	
247	28.0	1.0	0.0	0.0	1.0	
248	28.0	0.0	1.0	0.0	1.0	
249	28.0	0.0	1.0	0.0	1.0	
250	28.0	0.0	1.0	0.0	1.0	
251	28.0	0.0	1.0	0.0	1.0	
252	28.0	0.0	1.0	0.0	1.0	
253	30.0	0.0	0.0	1.0	1.0	
254	30.0	0.0	0.0	1.0	1.0	
255	28.0	0.0	1.0	0.0	1.0	
256	28.0	0.0	1.0	0.0	1.0	
257	30.0	0.0	0.0	1.0	1.0	
258	28.0	1.0	0.0	0.0	1.0	
259	26.0	1.0	0.0	0.0	0.0	
260	28.0	0.0	1.0	0.0	1.0	
261	28.0	0.0	1.0	0.0	1.0	
262	28.0	0.0	1.0	0.0	1.0	
263	28.0	0.0	1.0	0.0	1.0	
264	28.0	1.0	0.0	0.0	1.0	
265	28.0	0.0	1.0	0.0	1.0	
266	30.0	0.0	0.0	1.0	1.0	
267	28.0	0.0	1.0	0.0	1.0	
268	28.0	1.0	0.0	0.0	1.0	
269	28.0	0.0	1.0	0.0	1.0	
270	28.0	1.0	0.0	0.0	1.0	
271	28.0	0.0	1.0	0.0	1.0	
272	30.0	0.0	0.0	1.0	1.0	
273	30.0	0.0	0.0	1.0	1.0	
274	30.0	0.0	0.0	1.0	1.0	
275	28.0	0.0	1.0	0.0	1.0	
276	28.0	1.0	0.0	0.0	1.0	
277	30.0	0.0	0.0	1.0	1.0	
278	28.0	0.0	1.0	0.0	1.0	
279	28.0	0.0	1.0	0.0	1.0	
280	28.0	0.0	1.0	0.0	1.0	
281	28.0	0.0	0.0	1.0	0.0	
282	30.0	0.0	0.0	1.0	1.0	
283	28.0	0.0	1.0	0.0	1.0	
284	28.0	1.0	0.0	0.0	1.0	
285	30.0	0.0	0.0	1.0	1.0	
286	30.0	0.0	0.0	1.0	1.0	
287	28.0	0.0	1.0	0.0	1.0	
288	28.0	0.0	1.0	0.0	1.0	
289	28.0	0.0	1.0	0.0	1.0	
290	28.0	0.0	1.0	0.0	1.0	
291	28.0	0.0	1.0	0.0	1.0	
292	28.0	0.0	1.0	0.0	1.0	
293	28.0	0.0	1.0	0.0	1.0	
294	28.0	0.0	1.0	0.0	1.0	
295	28.0	0.0	1.0	0.0	1.0	
296	28.0	1.0	0.0	0.0	1.0	
297	30.0	0.0	0.0	1.0	1.0	
298	28.0	1.0	0.0	0.0	1.0	
299	28.0	1.0	0.0	0.0	1.0	
300	30.0	0.0	0.0	1.0	1.0	
301	28.0	0.0	1.0	0.0	1.0	
302	28.0	1.0	0.0	0.0	1.0	
303	28.0	0.0	1.0	0.0	1.0	
