Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
210	28.0	1.0	1.0	0.0	1.0	0.0	
211	28.0	1.0	1.0	0.0	1.0	0.0	
212	28.0	1.0	1.0	0.0	1.0	0.0	
213	28.0	1.0	1.0	0.0	1.0	0.0	
214	28.0	1.0	1.0	0.0	1.0	0.0	
215	30.0	1.0	1.0	1.0	0.0	0.0	
216	30.0	1.0	1.0	1.0	0.0	0.0	
217	30.0	1.0	1.0	1.0	0.0	0.0	
218	30.0	1.0	1.0	1.0	0.0	0.0	
219	30.0	1.0	1.0	1.0	0.0	0.0	
220	30.0	1.0	1.0	1.0	0.0	0.0	
221	28.0	1.0	1.0	0.0	1.0	0.0	
222	30.0	1.0	1.0	1.0	0.0	0.0	
223	30.0	1.0	1.0	1.0	0.0	0.0	
224	28.0	1.0	1.0	0.0	1.0	0.0	
225	28.0	1.0	1.0	0.0	1.0	0.0	
226	28.0	1.0	1.0	0.0	0.0	1.0	
227	28.0	1.0	1.0	0.0	1.0	0.0	
228	30.0	1.0	1.0	1.0	0.0	0.0	
229	30.0	1.0	1.0	1.0	0.0	0.0	
230	28.0	1.0	1.0	0.0	1.0	0.0	
231	30.0	1.0	1.0	1.0	0.0	0.0	
232	28.0	1.0	1.0	0.0	1.0	0.0	
233	28.0	1.0	1.0	0.0	0.0	1.0	
234	30.0	1.0	1.0	1.0	0.0	0.0	
235	30.0	1.0	1.0	1.0	0.0	0.0	
236	30.0	1.0	1.0	1.0	0.0	0.0	
237	30.0	1.0	1.0	1.0	0.0	0.0	
238	28.0	1.0	1.0	0.0	1.0	0.0	
239	28.0	1.0	1.0	0.0	1.0	0.0	
240	28.0	1.0	1.0	0.0	1.0	0.0	
241	28.0	1.0	1.0	0.0	1.0	0.0	
242	30.0	1.0	1.0	1.0	0.0	0.0	
243	28.0	1.0	1.0	0.0	1.0	0.0	
244	30.0	1.0	1.0	1.0	0.0	0.0	
245	28.0	1.0	1.0	0.0	1.0	0.0	
246	30.0	1.0	1.0	1.0	0.0	0.0	
247	28.0	1.0	1.0	0.0	1.0	0.0	
248	28.0	1.0	1.0	0.0	1.0	0.0	
