Sample	cat16-72.trees	cat16-72.sequence01_sequence07_sequence16_sequence09_sequence08	cat16-72.sequence04_sequence14_sequence11_sequence12_sequence13_sequence03_sequence10_sequence15	cat16-72.sequence01_sequence05_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-72.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
390	28.0	1.0	0.0	1.0	0.0	
391	28.0	1.0	1.0	0.0	0.0	
392	28.0	1.0	1.0	0.0	0.0	
393	28.0	1.0	0.0	1.0	0.0	
394	28.0	1.0	1.0	0.0	0.0	
395	28.0	1.0	0.0	1.0	0.0	
396	28.0	1.0	0.0	1.0	0.0	
397	28.0	1.0	0.0	1.0	0.0	
398	28.0	1.0	1.0	0.0	0.0	
399	28.0	1.0	1.0	0.0	0.0	
400	28.0	1.0	1.0	0.0	0.0	
401	28.0	1.0	1.0	0.0	0.0	
402	28.0	1.0	0.0	1.0	0.0	
403	28.0	1.0	1.0	0.0	0.0	
404	28.0	1.0	0.0	1.0	0.0	
405	30.0	1.0	0.0	0.0	1.0	
406	28.0	1.0	1.0	0.0	0.0	
407	28.0	1.0	1.0	0.0	0.0	
408	28.0	1.0	1.0	0.0	0.0	
409	28.0	1.0	0.0	1.0	0.0	
410	30.0	1.0	0.0	0.0	1.0	
411	28.0	1.0	1.0	0.0	0.0	
412	28.0	1.0	1.0	0.0	0.0	
413	28.0	1.0	1.0	0.0	0.0	
414	28.0	1.0	1.0	0.0	0.0	
415	28.0	1.0	0.0	1.0	0.0	
416	28.0	1.0	1.0	0.0	0.0	
417	30.0	1.0	0.0	0.0	1.0	
418	28.0	1.0	0.0	1.0	0.0	
419	28.0	1.0	0.0	1.0	0.0	
420	30.0	1.0	0.0	0.0	1.0	
421	28.0	1.0	1.0	0.0	0.0	
422	30.0	1.0	0.0	0.0	1.0	
423	28.0	1.0	0.0	1.0	0.0	
424	30.0	1.0	0.0	0.0	1.0	
425	28.0	1.0	1.0	0.0	0.0	
426	28.0	1.0	1.0	0.0	0.0	
427	28.0	1.0	0.0	1.0	0.0	
428	28.0	1.0	1.0	0.0	0.0	
429	28.0	1.0	0.0	1.0	0.0	
430	28.0	1.0	1.0	0.0	0.0	
431	30.0	1.0	0.0	0.0	1.0	
432	28.0	1.0	1.0	0.0	0.0	
433	30.0	1.0	0.0	0.0	1.0	
434	30.0	1.0	0.0	0.0	1.0	
435	28.0	1.0	1.0	0.0	0.0	
436	28.0	1.0	1.0	0.0	0.0	
437	28.0	1.0	0.0	1.0	0.0	
438	28.0	1.0	1.0	0.0	0.0	
439	28.0	1.0	0.0	1.0	0.0	
440	28.0	1.0	0.0	1.0	0.0	
441	28.0	1.0	1.0	0.0	0.0	
442	28.0	1.0	1.0	0.0	0.0	
443	28.0	1.0	1.0	0.0	0.0	
444	28.0	1.0	0.0	1.0	0.0	
445	28.0	1.0	1.0	0.0	0.0	
446	28.0	1.0	1.0	0.0	0.0	
447	30.0	1.0	0.0	0.0	1.0	
448	28.0	1.0	1.0	0.0	0.0	
449	30.0	1.0	0.0	0.0	1.0	
450	30.0	1.0	0.0	0.0	1.0	
451	28.0	1.0	0.0	1.0	0.0	
452	30.0	1.0	0.0	0.0	1.0	
453	30.0	1.0	0.0	0.0	1.0	
454	28.0	1.0	1.0	0.0	0.0	
455	28.0	1.0	0.0	1.0	0.0	
456	28.0	1.0	0.0	1.0	0.0	
457	28.0	1.0	0.0	1.0	0.0	
458	28.0	1.0	0.0	1.0	0.0	
459	30.0	1.0	0.0	0.0	1.0	
460	28.0	1.0	0.0	1.0	0.0	
461	30.0	1.0	0.0	0.0	1.0	
462	28.0	1.0	0.0	1.0	0.0	
463	28.0	1.0	0.0	1.0	0.0	
464	28.0	1.0	0.0	1.0	0.0	
465	28.0	1.0	1.0	0.0	0.0	
