Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
173	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
174	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
175	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
176	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
177	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
178	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
179	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
180	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
181	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
182	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
183	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
184	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
185	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
186	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
187	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
189	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
190	26.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
191	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
192	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
193	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
194	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
195	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
196	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
197	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
198	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
199	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
200	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
201	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
202	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
203	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
204	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
205	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
206	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
207	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
208	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
209	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
210	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
211	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
212	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
213	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
214	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
215	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
216	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
217	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
218	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
219	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
220	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
221	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
222	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
223	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
224	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
225	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
226	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
227	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
228	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
229	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
230	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
231	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
232	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
233	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
234	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
235	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
236	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
237	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
239	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
240	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
241	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
242	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
243	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
244	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
245	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
246	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
247	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
248	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
249	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
250	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
251	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
252	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
253	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
254	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
255	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
256	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
257	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
258	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
259	24.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
260	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
261	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
262	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
263	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
264	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
