Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
664	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
665	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
666	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
667	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
668	26.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
669	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
670	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
671	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
672	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
673	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
674	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
675	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
676	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
677	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
678	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
679	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
680	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
681	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
682	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
683	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
684	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
685	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
686	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
687	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
688	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
689	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
690	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
691	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
692	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
693	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
694	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
695	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
696	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
697	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
698	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
699	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
700	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
701	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
702	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
703	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
704	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
705	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
706	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
707	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
708	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
709	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
710	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
711	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
712	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
713	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
714	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
715	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
716	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
717	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
718	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
719	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
720	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
721	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
722	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
723	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
724	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
725	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
726	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
727	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
728	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
729	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
730	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
731	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
732	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
733	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
734	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
735	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
736	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
737	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
738	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
739	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
740	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
741	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
742	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
743	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
744	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
745	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
746	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
747	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
748	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
749	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
750	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
751	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
752	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
753	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
754	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
755	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
756	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
757	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
758	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
759	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
760	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
761	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
762	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
763	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
764	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
765	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
766	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
767	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
768	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
769	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
770	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
771	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
772	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
773	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
774	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
775	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
776	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
777	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
778	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
779	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
780	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
781	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
782	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
783	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
784	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
785	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
786	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
787	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
788	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
789	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
790	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
791	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
792	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
793	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
794	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
795	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
796	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
797	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
798	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
799	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
800	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
801	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
802	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
803	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
804	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
805	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
806	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
807	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
808	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
809	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
810	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
811	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
812	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
813	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
814	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
815	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
816	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
817	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
818	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
819	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
820	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
821	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
822	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
823	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
824	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
825	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
826	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
827	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
828	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
829	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
830	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
831	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
832	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
833	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
834	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
835	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
836	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
837	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
838	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
839	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
840	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
841	26.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
842	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
843	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
844	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
845	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
846	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
847	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
848	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
849	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
850	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
851	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
852	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
853	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
854	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
855	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
856	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
857	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
858	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
859	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
860	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
861	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
862	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
863	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
864	26.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
865	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
866	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
867	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
868	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
869	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
870	26.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	
871	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
872	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
873	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
874	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
875	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
876	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
877	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
878	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
879	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
880	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
881	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
882	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
883	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
884	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
885	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
886	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
887	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
888	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
889	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
890	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
891	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
892	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
893	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
894	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
895	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
896	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
897	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
898	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
899	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
