Sample	cat16-26.trees	cat16-26.sequence11_sequence12_sequence09	cat16-26.sequence14_sequence13_sequence16_sequence03_sequence06_sequence15	cat16-26.sequence01_sequence12	cat16-26.sequence14_sequence13_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-26.sequence16_sequence02_sequence03_sequence10_sequence08	
166	30.0	1.0	1.0	0.0	0.0	0.0	
167	26.0	0.0	0.0	1.0	0.0	1.0	
168	28.0	1.0	0.0	0.0	1.0	0.0	
169	30.0	1.0	1.0	0.0	0.0	0.0	
170	30.0	1.0	1.0	0.0	0.0	0.0	
171	28.0	0.0	1.0	1.0	0.0	0.0	
172	28.0	1.0	0.0	0.0	0.0	1.0	
173	28.0	0.0	1.0	1.0	0.0	0.0	
174	28.0	1.0	0.0	0.0	0.0	1.0	
175	30.0	1.0	1.0	0.0	0.0	0.0	
176	28.0	1.0	0.0	0.0	1.0	0.0	
177	28.0	0.0	1.0	1.0	0.0	0.0	
178	30.0	1.0	1.0	0.0	0.0	0.0	
179	30.0	1.0	1.0	0.0	0.0	0.0	
180	28.0	1.0	0.0	0.0	0.0	1.0	
181	28.0	1.0	0.0	0.0	0.0	1.0	
182	28.0	1.0	0.0	0.0	0.0	1.0	
183	30.0	1.0	1.0	0.0	0.0	0.0	
184	28.0	1.0	0.0	0.0	1.0	0.0	
185	30.0	1.0	1.0	0.0	0.0	0.0	
186	28.0	1.0	0.0	0.0	0.0	1.0	
187	30.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	1.0	0.0	0.0	0.0	1.0	
189	28.0	0.0	1.0	1.0	0.0	0.0	
190	28.0	1.0	0.0	0.0	1.0	0.0	
191	28.0	1.0	0.0	0.0	0.0	1.0	
192	28.0	1.0	0.0	0.0	1.0	0.0	
193	28.0	1.0	0.0	0.0	0.0	1.0	
194	28.0	1.0	0.0	0.0	1.0	0.0	
195	28.0	1.0	0.0	0.0	0.0	1.0	
196	28.0	1.0	0.0	0.0	1.0	0.0	
197	28.0	1.0	0.0	0.0	1.0	0.0	
198	28.0	1.0	0.0	0.0	0.0	1.0	
199	30.0	1.0	1.0	0.0	0.0	0.0	
200	28.0	1.0	0.0	0.0	0.0	1.0	
201	30.0	1.0	1.0	0.0	0.0	0.0	
202	28.0	1.0	0.0	0.0	0.0	1.0	
203	28.0	1.0	0.0	0.0	0.0	1.0	
204	28.0	1.0	0.0	0.0	0.0	1.0	
205	28.0	1.0	0.0	0.0	1.0	0.0	
206	28.0	1.0	0.0	0.0	0.0	1.0	
207	26.0	0.0	0.0	1.0	1.0	0.0	
208	28.0	1.0	0.0	0.0	1.0	0.0	
209	28.0	1.0	0.0	0.0	1.0	0.0	
210	28.0	1.0	0.0	0.0	1.0	0.0	
211	28.0	1.0	0.0	0.0	1.0	0.0	
212	30.0	1.0	1.0	0.0	0.0	0.0	
213	28.0	1.0	0.0	0.0	1.0	0.0	
