Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
120	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
121	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
122	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
123	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
124	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
125	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
126	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
127	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
128	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
129	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
130	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
131	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
132	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
133	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
134	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
135	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
136	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
137	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
138	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
139	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
140	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
141	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
142	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
143	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
144	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
145	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
