Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
140	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
141	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
142	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
143	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
144	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
145	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
146	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
147	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
148	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
149	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
150	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
151	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
152	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
153	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
154	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
155	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
156	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
157	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
158	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
159	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
160	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
162	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
163	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
164	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
165	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
167	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
168	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
169	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
170	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
171	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
172	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
173	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
174	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
175	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
