Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
143	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
144	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
145	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
146	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
147	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
148	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
149	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
150	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
151	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
152	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
153	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
154	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
155	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
156	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
157	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
158	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
159	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
160	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
161	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
162	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
163	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
164	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
165	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
167	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
168	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
169	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
170	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
171	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
172	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
173	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
174	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
175	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
176	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
