Sample	cat16-69.trees	cat16-69.sequence01_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-69.sequence12_sequence13	cat16-69.sequence01_sequence10	cat16-69.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-69.sequence12_sequence02	cat16-69.sequence13_sequence02	
341	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
342	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
343	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
344	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
345	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
346	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
347	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
348	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
349	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
350	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
351	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
352	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
353	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
354	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
355	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
356	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
357	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
358	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
359	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
360	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
361	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
362	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
363	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
364	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
365	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
366	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
367	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
368	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
369	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
370	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
371	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
372	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
373	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
374	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
375	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
376	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
377	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
378	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
379	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
380	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
381	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
382	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
383	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
384	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
385	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
386	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
387	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
388	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
389	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
390	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
391	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
392	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
393	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
394	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
395	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
396	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
397	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
398	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
399	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
400	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
401	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
402	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
403	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
404	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
405	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
406	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
407	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
408	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
409	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
410	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
411	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
412	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
413	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
414	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
415	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
416	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
417	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
418	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
419	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
420	28.0	0.0	0.0	1.0	1.0	0.0	1.0	
421	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
422	28.0	1.0	0.0	1.0	0.0	1.0	0.0	
423	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
424	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
425	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
426	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
427	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
428	28.0	0.0	1.0	1.0	1.0	0.0	0.0	
429	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
430	30.0	0.0	0.0	1.0	1.0	1.0	0.0	
