Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
138	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
139	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
140	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
141	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
142	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
143	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
144	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
145	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
146	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
147	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
148	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
149	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
150	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
151	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
152	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
153	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
154	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
155	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
156	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
157	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
158	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
159	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
160	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
161	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
162	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
163	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
164	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
165	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
166	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
167	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
168	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
169	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
170	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
171	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
172	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
173	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
174	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
175	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
176	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
177	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
178	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
179	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
180	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
181	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
182	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
