Sample	cat16-93.trees	cat16-93.sequence05_sequence04_sequence07_sequence03	cat16-93.sequence05_sequence04_sequence11_sequence13_sequence03	cat16-93.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-93.sequence07_sequence11_sequence13	cat16-93.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-93.sequence01_sequence14_sequence16_sequence10_sequence08_sequence15	
129	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
130	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
131	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
132	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
133	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
134	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
135	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
136	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
137	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
138	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
139	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
140	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
141	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
142	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
143	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
144	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
145	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
146	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
147	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
148	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
149	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
150	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
151	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
152	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
153	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
154	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
155	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
156	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
157	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
158	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
159	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
160	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
161	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
162	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
163	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
164	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
165	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
166	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
167	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
169	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
170	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
171	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
172	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
173	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
174	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
175	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
176	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
177	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
178	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
179	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
180	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
181	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
182	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
183	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
184	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
185	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
186	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
187	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
188	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
189	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
190	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
191	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
192	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
193	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
194	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
195	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
196	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
197	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
198	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
199	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
200	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
201	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
202	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
203	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
204	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
205	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
206	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
207	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
208	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
209	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
210	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
211	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
212	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
213	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
214	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
215	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
216	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
217	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
218	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
219	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
220	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
222	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
