Sample	cat16-14.trees	cat16-14.sequence04_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence10	cat16-14.sequence05_sequence07_sequence16_sequence02_sequence09_sequence06_sequence08	cat16-14.sequence01_sequence04_sequence14_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence13_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-14.sequence14_sequence13	cat16-14.sequence01_sequence15	cat16-14.sequence16_sequence02	cat16-14.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
69	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
70	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
71	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
72	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
73	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
74	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
75	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
76	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
77	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
78	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
79	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
80	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
81	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	
82	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
83	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
84	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
85	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
86	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
87	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
88	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
89	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
90	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
91	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
92	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
93	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
94	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
95	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
96	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
97	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
98	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
99	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
100	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
101	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
102	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
103	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
104	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
105	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
106	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
107	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
108	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
109	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
110	24.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
