Sample	cat16-17.trees	cat16-17.sequence11_sequence12_sequence13_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence16_sequence02_sequence10_sequence06_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence04_sequence02_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence08_sequence15	cat16-17.sequence05_sequence14_sequence16_sequence02_sequence10_sequence06	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08_sequence15	
62	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
63	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
64	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
65	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
66	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
67	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
68	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
69	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
70	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
71	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
72	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
73	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
74	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
75	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
76	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
77	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
78	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
79	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
80	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
81	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
82	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
83	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
84	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
85	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
86	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
87	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
88	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
89	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
90	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
91	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
92	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
93	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
94	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
95	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
96	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
97	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
98	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
99	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
100	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
101	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
102	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
103	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
104	26.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
105	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
106	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
107	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
108	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
109	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
110	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
111	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
