Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
250	28.0	1.0	0.0	0.0	
251	28.0	0.0	1.0	0.0	
252	30.0	0.0	0.0	1.0	
253	30.0	0.0	0.0	1.0	
254	30.0	0.0	0.0	1.0	
255	28.0	0.0	1.0	0.0	
256	28.0	1.0	0.0	0.0	
257	28.0	0.0	1.0	0.0	
258	28.0	1.0	0.0	0.0	
259	28.0	0.0	1.0	0.0	
260	30.0	0.0	0.0	1.0	
261	28.0	1.0	0.0	0.0	
262	30.0	0.0	0.0	1.0	
263	28.0	0.0	1.0	0.0	
264	28.0	1.0	0.0	0.0	
265	30.0	0.0	0.0	1.0	
266	28.0	1.0	0.0	0.0	
267	28.0	1.0	0.0	0.0	
268	28.0	0.0	1.0	0.0	
269	28.0	1.0	0.0	0.0	
270	30.0	0.0	0.0	1.0	
271	28.0	1.0	0.0	0.0	
272	28.0	1.0	0.0	0.0	
273	28.0	0.0	1.0	0.0	
274	28.0	1.0	0.0	0.0	
275	28.0	1.0	0.0	0.0	
276	30.0	0.0	0.0	1.0	
277	30.0	0.0	0.0	1.0	
278	28.0	0.0	1.0	0.0	
279	30.0	0.0	0.0	1.0	
280	28.0	1.0	0.0	0.0	
281	30.0	0.0	0.0	1.0	
282	30.0	0.0	0.0	1.0	
283	28.0	1.0	0.0	0.0	
284	30.0	0.0	0.0	1.0	
285	28.0	1.0	0.0	0.0	
286	30.0	0.0	0.0	1.0	
287	28.0	1.0	0.0	0.0	
288	28.0	1.0	0.0	0.0	
289	30.0	0.0	0.0	1.0	
290	28.0	1.0	0.0	0.0	
291	30.0	0.0	0.0	1.0	
292	28.0	0.0	1.0	0.0	
293	28.0	0.0	1.0	0.0	
294	30.0	0.0	0.0	1.0	
295	28.0	1.0	0.0	0.0	
296	28.0	1.0	0.0	0.0	
297	30.0	0.0	0.0	1.0	
298	28.0	1.0	0.0	0.0	
299	28.0	1.0	0.0	0.0	
300	30.0	0.0	0.0	1.0	
301	30.0	0.0	0.0	1.0	
302	28.0	1.0	0.0	0.0	
