Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
198	28.0	1.0	0.0	0.0	1.0	
199	28.0	1.0	0.0	0.0	1.0	
200	30.0	1.0	0.0	1.0	0.0	
201	28.0	1.0	0.0	0.0	1.0	
202	30.0	1.0	0.0	1.0	0.0	
203	28.0	1.0	1.0	0.0	0.0	
204	28.0	1.0	0.0	0.0	1.0	
205	30.0	1.0	0.0	1.0	0.0	
206	28.0	1.0	1.0	0.0	0.0	
207	30.0	1.0	0.0	1.0	0.0	
208	30.0	1.0	0.0	1.0	0.0	
209	30.0	1.0	0.0	1.0	0.0	
210	28.0	1.0	0.0	0.0	1.0	
211	30.0	1.0	0.0	1.0	0.0	
212	30.0	1.0	0.0	1.0	0.0	
213	28.0	1.0	0.0	0.0	1.0	
214	30.0	1.0	0.0	1.0	0.0	
215	30.0	1.0	0.0	1.0	0.0	
216	30.0	1.0	0.0	1.0	0.0	
217	28.0	1.0	0.0	0.0	1.0	
218	28.0	1.0	0.0	0.0	1.0	
219	30.0	1.0	0.0	1.0	0.0	
220	28.0	1.0	1.0	0.0	0.0	
221	30.0	1.0	0.0	1.0	0.0	
222	30.0	1.0	0.0	1.0	0.0	
223	28.0	1.0	0.0	0.0	1.0	
224	30.0	1.0	0.0	1.0	0.0	
225	30.0	1.0	0.0	1.0	0.0	
226	30.0	1.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	0.0	1.0	
228	30.0	1.0	0.0	1.0	0.0	
229	28.0	1.0	0.0	0.0	1.0	
230	30.0	1.0	0.0	1.0	0.0	
231	28.0	1.0	1.0	0.0	0.0	
232	28.0	1.0	0.0	0.0	1.0	
233	30.0	1.0	0.0	1.0	0.0	
234	28.0	1.0	0.0	0.0	1.0	
235	28.0	1.0	0.0	0.0	1.0	
236	30.0	1.0	0.0	1.0	0.0	
237	28.0	1.0	0.0	0.0	1.0	
238	30.0	1.0	0.0	1.0	0.0	
239	30.0	1.0	0.0	1.0	0.0	
240	30.0	1.0	0.0	1.0	0.0	
241	30.0	1.0	0.0	1.0	0.0	
242	30.0	1.0	0.0	1.0	0.0	
243	26.0	0.0	1.0	0.0	0.0	
244	30.0	1.0	0.0	1.0	0.0	
245	28.0	1.0	0.0	0.0	1.0	
246	30.0	1.0	0.0	1.0	0.0	
