Sample	cat16-52.trees	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
192	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
193	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
194	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
195	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
196	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
197	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
198	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
199	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
200	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
201	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
202	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
203	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
204	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
205	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
206	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
207	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
208	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
209	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
210	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
211	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
212	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
213	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
214	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
215	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
216	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
217	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
218	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
219	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
220	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
221	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
