Sample	cat16-23.trees	cat16-23.sequence04_sequence10	cat16-23.sequence05_sequence02_sequence09_sequence08	cat16-23.sequence04_sequence03	cat16-23.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-23.sequence03_sequence10	
222	26.0	0.0	1.0	1.0	0.0	0.0	
223	28.0	1.0	1.0	0.0	0.0	0.0	
224	28.0	1.0	1.0	0.0	0.0	0.0	
225	28.0	1.0	1.0	0.0	0.0	0.0	
226	28.0	1.0	1.0	0.0	0.0	0.0	
227	28.0	1.0	1.0	0.0	0.0	0.0	
228	28.0	1.0	1.0	0.0	0.0	0.0	
229	28.0	1.0	1.0	0.0	0.0	0.0	
230	28.0	1.0	1.0	0.0	0.0	0.0	
231	28.0	1.0	1.0	0.0	0.0	0.0	
232	28.0	1.0	1.0	0.0	0.0	0.0	
233	28.0	1.0	1.0	0.0	0.0	0.0	
234	28.0	1.0	1.0	0.0	0.0	0.0	
235	28.0	1.0	1.0	0.0	0.0	0.0	
236	26.0	0.0	1.0	1.0	0.0	0.0	
237	28.0	1.0	1.0	0.0	0.0	0.0	
238	28.0	1.0	1.0	0.0	0.0	0.0	
239	28.0	1.0	1.0	0.0	0.0	0.0	
240	28.0	1.0	1.0	0.0	0.0	0.0	
241	28.0	1.0	1.0	0.0	0.0	0.0	
242	28.0	1.0	1.0	0.0	0.0	0.0	
243	28.0	1.0	1.0	0.0	0.0	0.0	
244	28.0	1.0	1.0	0.0	0.0	0.0	
245	28.0	1.0	1.0	0.0	0.0	0.0	
246	28.0	1.0	1.0	0.0	0.0	0.0	
247	28.0	1.0	1.0	0.0	0.0	0.0	
248	28.0	1.0	1.0	0.0	0.0	0.0	
249	28.0	1.0	1.0	0.0	0.0	0.0	
250	28.0	1.0	1.0	0.0	0.0	0.0	
251	28.0	1.0	1.0	0.0	0.0	0.0	
252	28.0	1.0	1.0	0.0	0.0	0.0	
253	28.0	1.0	1.0	0.0	0.0	0.0	
254	28.0	1.0	1.0	0.0	0.0	0.0	
255	28.0	1.0	1.0	0.0	0.0	0.0	
256	28.0	1.0	1.0	0.0	0.0	0.0	
257	28.0	1.0	1.0	0.0	0.0	0.0	
258	28.0	1.0	1.0	0.0	0.0	0.0	
259	28.0	1.0	1.0	0.0	0.0	0.0	
260	28.0	1.0	1.0	0.0	0.0	0.0	
261	28.0	1.0	1.0	0.0	0.0	0.0	
262	28.0	1.0	1.0	0.0	0.0	0.0	
263	28.0	1.0	1.0	0.0	0.0	0.0	
264	28.0	1.0	1.0	0.0	0.0	0.0	
265	28.0	1.0	1.0	0.0	0.0	0.0	
266	28.0	1.0	1.0	0.0	0.0	0.0	
267	28.0	1.0	1.0	0.0	0.0	0.0	
268	28.0	1.0	1.0	0.0	0.0	0.0	
269	28.0	1.0	1.0	0.0	0.0	0.0	
270	28.0	1.0	1.0	0.0	0.0	0.0	
271	28.0	1.0	1.0	0.0	0.0	0.0	
272	28.0	1.0	1.0	0.0	0.0	0.0	
273	28.0	1.0	1.0	0.0	0.0	0.0	
274	28.0	1.0	1.0	0.0	0.0	0.0	
275	28.0	1.0	1.0	0.0	0.0	0.0	
276	28.0	1.0	1.0	0.0	0.0	0.0	
277	28.0	1.0	1.0	0.0	0.0	0.0	
278	28.0	1.0	1.0	0.0	0.0	0.0	
279	28.0	1.0	1.0	0.0	0.0	0.0	
280	28.0	1.0	1.0	0.0	0.0	0.0	
281	28.0	1.0	1.0	0.0	0.0	0.0	
282	28.0	1.0	1.0	0.0	0.0	0.0	
283	26.0	0.0	1.0	1.0	0.0	0.0	
284	28.0	1.0	1.0	0.0	0.0	0.0	
285	28.0	1.0	1.0	0.0	0.0	0.0	
286	28.0	1.0	1.0	0.0	0.0	0.0	
287	28.0	1.0	1.0	0.0	0.0	0.0	
288	28.0	1.0	1.0	0.0	0.0	0.0	
289	28.0	1.0	1.0	0.0	0.0	0.0	
290	28.0	1.0	1.0	0.0	0.0	0.0	
291	28.0	1.0	1.0	0.0	0.0	0.0	
292	28.0	1.0	1.0	0.0	0.0	0.0	
293	28.0	1.0	1.0	0.0	0.0	0.0	
294	28.0	1.0	1.0	0.0	0.0	0.0	
295	28.0	1.0	1.0	0.0	0.0	0.0	
296	28.0	1.0	1.0	0.0	0.0	0.0	
297	28.0	1.0	1.0	0.0	0.0	0.0	
298	28.0	1.0	1.0	0.0	0.0	0.0	
299	28.0	1.0	1.0	0.0	0.0	0.0	
300	28.0	1.0	1.0	0.0	0.0	0.0	
301	28.0	1.0	1.0	0.0	0.0	0.0	
302	28.0	1.0	1.0	0.0	0.0	0.0	
303	28.0	1.0	1.0	0.0	0.0	0.0	
304	28.0	1.0	1.0	0.0	0.0	0.0	
305	28.0	1.0	1.0	0.0	0.0	0.0	
306	28.0	1.0	1.0	0.0	0.0	0.0	
307	28.0	1.0	1.0	0.0	0.0	0.0	
308	28.0	1.0	1.0	0.0	0.0	0.0	
309	28.0	1.0	1.0	0.0	0.0	0.0	
310	26.0	0.0	1.0	0.0	0.0	1.0	
311	28.0	1.0	1.0	0.0	0.0	0.0	
312	28.0	1.0	1.0	0.0	0.0	0.0	
313	28.0	1.0	1.0	0.0	0.0	0.0	
314	28.0	1.0	1.0	0.0	0.0	0.0	
315	28.0	1.0	1.0	0.0	0.0	0.0	
316	28.0	1.0	1.0	0.0	0.0	0.0	
317	28.0	1.0	1.0	0.0	0.0	0.0	
318	28.0	1.0	1.0	0.0	0.0	0.0	
319	28.0	1.0	1.0	0.0	0.0	0.0	
320	28.0	1.0	1.0	0.0	0.0	0.0	
321	28.0	1.0	1.0	0.0	0.0	0.0	
322	28.0	1.0	1.0	0.0	0.0	0.0	
323	28.0	1.0	1.0	0.0	0.0	0.0	
324	28.0	1.0	1.0	0.0	0.0	0.0	
325	28.0	1.0	1.0	0.0	0.0	0.0	
326	28.0	1.0	1.0	0.0	0.0	0.0	
327	28.0	1.0	1.0	0.0	0.0	0.0	
328	28.0	1.0	1.0	0.0	0.0	0.0	
329	28.0	1.0	1.0	0.0	0.0	0.0	
330	28.0	1.0	1.0	0.0	0.0	0.0	
331	28.0	1.0	1.0	0.0	0.0	0.0	
332	28.0	1.0	1.0	0.0	0.0	0.0	
333	28.0	1.0	1.0	0.0	0.0	0.0	
334	28.0	1.0	1.0	0.0	0.0	0.0	
335	28.0	1.0	1.0	0.0	0.0	0.0	
336	28.0	1.0	1.0	0.0	0.0	0.0	
337	28.0	1.0	1.0	0.0	0.0	0.0	
338	28.0	1.0	1.0	0.0	0.0	0.0	
339	28.0	1.0	1.0	0.0	0.0	0.0	
340	28.0	1.0	1.0	0.0	0.0	0.0	
341	28.0	1.0	1.0	0.0	0.0	0.0	
342	28.0	1.0	1.0	0.0	0.0	0.0	
343	26.0	0.0	1.0	1.0	0.0	0.0	
344	28.0	1.0	1.0	0.0	0.0	0.0	
345	28.0	1.0	1.0	0.0	0.0	0.0	
346	28.0	1.0	1.0	0.0	0.0	0.0	
347	28.0	1.0	1.0	0.0	0.0	0.0	
348	28.0	1.0	1.0	0.0	0.0	0.0	
349	28.0	1.0	1.0	0.0	0.0	0.0	
350	28.0	1.0	1.0	0.0	0.0	0.0	
351	28.0	1.0	1.0	0.0	0.0	0.0	
352	26.0	0.0	1.0	0.0	0.0	1.0	
353	28.0	1.0	1.0	0.0	0.0	0.0	
354	28.0	1.0	1.0	0.0	0.0	0.0	
355	28.0	1.0	1.0	0.0	0.0	0.0	
356	28.0	1.0	1.0	0.0	0.0	0.0	
357	28.0	1.0	1.0	0.0	0.0	0.0	
358	28.0	1.0	1.0	0.0	0.0	0.0	
359	28.0	1.0	1.0	0.0	0.0	0.0	
360	28.0	1.0	1.0	0.0	0.0	0.0	
361	28.0	1.0	1.0	0.0	0.0	0.0	
362	26.0	0.0	1.0	0.0	0.0	1.0	
363	28.0	1.0	1.0	0.0	0.0	0.0	
364	28.0	1.0	1.0	0.0	0.0	0.0	
365	28.0	1.0	1.0	0.0	0.0	0.0	
366	26.0	0.0	1.0	0.0	0.0	1.0	
367	28.0	1.0	1.0	0.0	0.0	0.0	
368	28.0	1.0	1.0	0.0	0.0	0.0	
369	26.0	0.0	1.0	0.0	0.0	1.0	
370	26.0	0.0	1.0	0.0	0.0	1.0	
371	28.0	1.0	1.0	0.0	0.0	0.0	
372	28.0	1.0	1.0	0.0	0.0	0.0	
373	28.0	1.0	1.0	0.0	0.0	0.0	
374	28.0	1.0	1.0	0.0	0.0	0.0	
375	28.0	1.0	1.0	0.0	0.0	0.0	
376	28.0	1.0	1.0	0.0	0.0	0.0	
377	28.0	1.0	1.0	0.0	0.0	0.0	
378	28.0	1.0	1.0	0.0	0.0	0.0	
379	26.0	0.0	1.0	0.0	0.0	1.0	
380	28.0	1.0	1.0	0.0	0.0	0.0	
381	28.0	1.0	1.0	0.0	0.0	0.0	
382	28.0	1.0	1.0	0.0	0.0	0.0	
383	28.0	1.0	1.0	0.0	0.0	0.0	
384	28.0	1.0	1.0	0.0	0.0	0.0	
385	28.0	1.0	1.0	0.0	0.0	0.0	
386	28.0	1.0	1.0	0.0	0.0	0.0	
387	28.0	1.0	1.0	0.0	0.0	0.0	
388	28.0	1.0	1.0	0.0	0.0	0.0	
389	28.0	1.0	1.0	0.0	0.0	0.0	
390	28.0	1.0	1.0	0.0	0.0	0.0	
391	28.0	1.0	1.0	0.0	0.0	0.0	
392	28.0	1.0	1.0	0.0	0.0	0.0	
393	28.0	1.0	0.0	0.0	1.0	0.0	
394	28.0	1.0	1.0	0.0	0.0	0.0	
395	28.0	1.0	1.0	0.0	0.0	0.0	
396	28.0	1.0	1.0	0.0	0.0	0.0	
397	28.0	1.0	1.0	0.0	0.0	0.0	
398	26.0	0.0	1.0	1.0	0.0	0.0	
399	28.0	1.0	1.0	0.0	0.0	0.0	
400	28.0	1.0	1.0	0.0	0.0	0.0	
401	28.0	1.0	1.0	0.0	0.0	0.0	
402	28.0	1.0	1.0	0.0	0.0	0.0	
403	28.0	1.0	1.0	0.0	0.0	0.0	
404	28.0	1.0	1.0	0.0	0.0	0.0	
405	28.0	1.0	1.0	0.0	0.0	0.0	
406	28.0	1.0	1.0	0.0	0.0	0.0	
407	28.0	1.0	1.0	0.0	0.0	0.0	
408	28.0	1.0	1.0	0.0	0.0	0.0	
409	28.0	1.0	1.0	0.0	0.0	0.0	
410	28.0	1.0	1.0	0.0	0.0	0.0	
411	28.0	1.0	1.0	0.0	0.0	0.0	
412	28.0	1.0	1.0	0.0	0.0	0.0	
413	28.0	1.0	1.0	0.0	0.0	0.0	
414	28.0	1.0	1.0	0.0	0.0	0.0	
415	28.0	1.0	1.0	0.0	0.0	0.0	
416	28.0	1.0	1.0	0.0	0.0	0.0	
417	28.0	1.0	1.0	0.0	0.0	0.0	
418	28.0	1.0	1.0	0.0	0.0	0.0	
419	28.0	1.0	1.0	0.0	0.0	0.0	
420	28.0	1.0	1.0	0.0	0.0	0.0	
421	28.0	1.0	1.0	0.0	0.0	0.0	
422	28.0	1.0	0.0	0.0	1.0	0.0	
423	28.0	1.0	1.0	0.0	0.0	0.0	
424	28.0	1.0	1.0	0.0	0.0	0.0	
425	28.0	1.0	1.0	0.0	0.0	0.0	
426	28.0	1.0	1.0	0.0	0.0	0.0	
427	28.0	1.0	1.0	0.0	0.0	0.0	
428	28.0	1.0	1.0	0.0	0.0	0.0	
429	28.0	1.0	1.0	0.0	0.0	0.0	
430	28.0	1.0	1.0	0.0	0.0	0.0	
431	28.0	1.0	1.0	0.0	0.0	0.0	
432	28.0	1.0	1.0	0.0	0.0	0.0	
433	28.0	1.0	1.0	0.0	0.0	0.0	
434	26.0	0.0	1.0	1.0	0.0	0.0	
435	28.0	1.0	1.0	0.0	0.0	0.0	
436	28.0	1.0	1.0	0.0	0.0	0.0	
437	28.0	1.0	1.0	0.0	0.0	0.0	
438	28.0	1.0	1.0	0.0	0.0	0.0	
439	28.0	1.0	1.0	0.0	0.0	0.0	
440	28.0	1.0	1.0	0.0	0.0	0.0	
441	28.0	1.0	1.0	0.0	0.0	0.0	
442	28.0	1.0	1.0	0.0	0.0	0.0	
443	28.0	1.0	1.0	0.0	0.0	0.0	
444	28.0	1.0	1.0	0.0	0.0	0.0	
445	28.0	1.0	1.0	0.0	0.0	0.0	
446	28.0	1.0	1.0	0.0	0.0	0.0	
447	28.0	1.0	1.0	0.0	0.0	0.0	
448	28.0	1.0	1.0	0.0	0.0	0.0	
449	28.0	1.0	1.0	0.0	0.0	0.0	
450	26.0	0.0	1.0	0.0	0.0	1.0	
451	28.0	1.0	1.0	0.0	0.0	0.0	
452	28.0	1.0	1.0	0.0	0.0	0.0	
453	26.0	0.0	1.0	0.0	0.0	1.0	
454	28.0	1.0	1.0	0.0	0.0	0.0	
455	28.0	1.0	1.0	0.0	0.0	0.0	
456	28.0	1.0	1.0	0.0	0.0	0.0	
457	30.0	1.0	0.0	0.0	0.0	0.0	
458	28.0	1.0	1.0	0.0	0.0	0.0	
459	28.0	1.0	1.0	0.0	0.0	0.0	
460	28.0	1.0	1.0	0.0	0.0	0.0	
461	28.0	1.0	1.0	0.0	0.0	0.0	
462	28.0	1.0	1.0	0.0	0.0	0.0	
463	28.0	1.0	1.0	0.0	0.0	0.0	
464	28.0	1.0	1.0	0.0	0.0	0.0	
465	28.0	1.0	1.0	0.0	0.0	0.0	
466	28.0	1.0	1.0	0.0	0.0	0.0	
467	28.0	1.0	1.0	0.0	0.0	0.0	
468	28.0	1.0	1.0	0.0	0.0	0.0	
469	28.0	1.0	1.0	0.0	0.0	0.0	
470	28.0	1.0	1.0	0.0	0.0	0.0	
471	28.0	1.0	1.0	0.0	0.0	0.0	
472	28.0	1.0	1.0	0.0	0.0	0.0	
473	28.0	1.0	1.0	0.0	0.0	0.0	
474	28.0	1.0	1.0	0.0	0.0	0.0	
475	28.0	1.0	1.0	0.0	0.0	0.0	
476	28.0	1.0	1.0	0.0	0.0	0.0	
477	28.0	1.0	1.0	0.0	0.0	0.0	
478	28.0	1.0	1.0	0.0	0.0	0.0	
479	28.0	1.0	1.0	0.0	0.0	0.0	
480	28.0	1.0	1.0	0.0	0.0	0.0	
481	28.0	1.0	1.0	0.0	0.0	0.0	
482	28.0	1.0	1.0	0.0	0.0	0.0	
483	28.0	1.0	1.0	0.0	0.0	0.0	
484	28.0	1.0	1.0	0.0	0.0	0.0	
485	28.0	1.0	1.0	0.0	0.0	0.0	
486	28.0	1.0	1.0	0.0	0.0	0.0	
487	28.0	1.0	1.0	0.0	0.0	0.0	
488	28.0	1.0	1.0	0.0	0.0	0.0	
489	28.0	1.0	1.0	0.0	0.0	0.0	
490	28.0	1.0	1.0	0.0	0.0	0.0	
491	28.0	1.0	1.0	0.0	0.0	0.0	
492	28.0	1.0	1.0	0.0	0.0	0.0	
493	28.0	1.0	1.0	0.0	0.0	0.0	
494	28.0	1.0	1.0	0.0	0.0	0.0	
495	28.0	1.0	1.0	0.0	0.0	0.0	
496	26.0	0.0	1.0	1.0	0.0	0.0	
497	28.0	1.0	1.0	0.0	0.0	0.0	
498	28.0	1.0	1.0	0.0	0.0	0.0	
499	28.0	1.0	1.0	0.0	0.0	0.0	
