Sample	cat16-57.trees	cat16-57.sequence04_sequence10	cat16-57.sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-57.sequence16_sequence06	cat16-57.sequence16_sequence03	cat16-57.sequence05_sequence04_sequence09_sequence10	cat16-57.sequence07_sequence11_sequence16_sequence02_sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence09_sequence10_sequence08_sequence15	
184	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
185	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
186	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
187	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
188	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
189	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
190	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
191	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
192	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
193	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
194	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
195	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
196	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
197	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
198	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
199	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
200	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
201	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
202	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
203	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
204	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
205	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
206	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
207	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
208	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
209	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
210	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
211	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
212	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
213	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
214	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
215	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
216	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
217	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
218	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
219	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
220	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
221	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
222	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
223	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
224	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
225	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
