Sample	cat16-78.trees	cat16-78.sequence11_sequence16_sequence09_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-78.sequence01_sequence05_sequence04_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-78.sequence07_sequence12_sequence06_sequence08	cat16-78.sequence14_sequence08	cat16-78.sequence14_sequence07_sequence12_sequence06_sequence08	cat16-78.sequence01_sequence05_sequence04_sequence14_sequence11_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-78.sequence11_sequence16_sequence15	
60	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
61	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
62	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
63	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
64	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
65	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
66	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
67	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
68	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
69	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
70	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
71	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
72	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
73	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
74	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
75	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
76	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
77	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
78	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
79	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
80	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
81	24.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
82	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
83	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
84	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
85	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
86	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
87	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
88	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
89	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
90	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
91	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
92	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
93	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
94	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
95	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
96	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
97	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
98	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
99	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
100	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
101	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
102	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
103	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
104	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
105	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
106	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
107	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
108	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
109	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
110	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
111	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
112	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
113	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
114	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
115	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
116	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
117	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
118	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
119	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
120	24.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
121	22.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
122	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
123	22.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
124	22.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
125	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
126	22.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
127	24.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
128	24.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
129	24.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
130	24.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
131	26.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
132	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
133	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
134	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
135	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
136	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
137	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
138	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
139	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
140	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
141	28.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
142	28.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
143	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
144	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
145	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
146	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
147	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
148	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
149	28.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
150	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
151	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
152	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
153	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
154	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
155	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
156	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
157	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
158	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
159	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
160	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
161	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
162	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
163	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
164	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
165	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
166	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
167	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
168	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
169	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
170	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
171	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
172	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
173	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
174	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
175	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
176	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
177	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
178	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
179	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
180	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
181	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
182	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
183	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
184	30.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
185	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
