Sample	cat16-27.trees	cat16-27.sequence04_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence14_sequence02_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence16_sequence02_sequence09_sequence10	cat16-27.sequence01_sequence07_sequence03_sequence08	cat16-27.sequence01_sequence07_sequence11_sequence12_sequence13_sequence03_sequence06_sequence08_sequence15	cat16-27.sequence14_sequence16	cat16-27.sequence01_sequence07_sequence12_sequence03_sequence06	
125	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
126	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
127	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
128	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
129	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
130	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
131	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
132	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
133	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
134	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
135	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
136	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
137	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
138	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
139	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
140	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
141	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
143	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
144	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
145	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
146	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
147	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
148	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
149	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
150	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
151	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
152	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
153	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
154	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
155	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
156	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
157	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
158	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
159	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
160	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
162	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
163	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
164	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
165	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
166	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
167	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
169	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
170	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
171	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
172	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
173	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
174	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
175	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
176	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
177	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
178	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
179	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
180	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
181	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
182	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
183	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
184	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
185	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
186	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
187	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
188	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
