Sample	cat16-92.trees	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence03_sequence06	cat16-92.sequence04_sequence14_sequence02_sequence03_sequence10_sequence06	cat16-92.sequence05_sequence11_sequence12_sequence13_sequence16_sequence09_sequence08_sequence15	cat16-92.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-92.sequence01_sequence07_sequence10	cat16-92.sequence04_sequence14_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
158	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
159	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
160	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
161	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
162	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
163	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
164	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
165	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
166	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
167	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
168	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
169	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
170	26.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
171	28.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
172	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
173	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
174	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
175	28.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
176	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
177	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
178	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
179	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
180	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
181	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
182	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
183	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
184	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
185	26.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
186	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
187	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
189	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
190	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
191	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
192	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
193	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
194	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
195	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
196	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
197	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
198	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
199	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
200	28.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
201	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
202	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
203	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
204	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
205	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
206	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
207	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
208	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
209	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
210	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
211	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
212	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
213	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
214	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
215	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
216	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
217	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
218	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
