Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
167	28.0	1.0	1.0	0.0	1.0	0.0	
168	28.0	1.0	1.0	1.0	0.0	0.0	
169	28.0	1.0	1.0	1.0	0.0	0.0	
170	28.0	1.0	1.0	1.0	0.0	0.0	
171	30.0	1.0	1.0	0.0	0.0	1.0	
172	28.0	1.0	1.0	0.0	1.0	0.0	
173	30.0	1.0	1.0	0.0	0.0	1.0	
174	28.0	1.0	1.0	0.0	1.0	0.0	
175	30.0	1.0	1.0	0.0	0.0	1.0	
176	30.0	1.0	1.0	0.0	0.0	1.0	
177	30.0	1.0	1.0	0.0	0.0	1.0	
178	28.0	1.0	1.0	0.0	1.0	0.0	
179	30.0	1.0	1.0	0.0	0.0	1.0	
180	30.0	1.0	1.0	0.0	0.0	1.0	
181	30.0	1.0	1.0	0.0	0.0	1.0	
182	30.0	1.0	1.0	0.0	0.0	1.0	
183	28.0	1.0	1.0	0.0	1.0	0.0	
184	28.0	1.0	1.0	0.0	1.0	0.0	
185	28.0	1.0	1.0	0.0	1.0	0.0	
186	28.0	1.0	1.0	1.0	0.0	0.0	
187	28.0	1.0	1.0	1.0	0.0	0.0	
188	30.0	1.0	1.0	0.0	0.0	1.0	
189	30.0	1.0	1.0	0.0	0.0	1.0	
190	30.0	1.0	1.0	0.0	0.0	1.0	
191	28.0	1.0	1.0	0.0	1.0	0.0	
192	28.0	1.0	1.0	0.0	1.0	0.0	
193	30.0	1.0	1.0	0.0	0.0	1.0	
194	30.0	1.0	1.0	0.0	0.0	1.0	
195	28.0	1.0	1.0	1.0	0.0	0.0	
196	30.0	1.0	1.0	0.0	0.0	1.0	
197	28.0	1.0	1.0	1.0	0.0	0.0	
198	28.0	1.0	1.0	0.0	1.0	0.0	
199	28.0	1.0	1.0	0.0	1.0	0.0	
200	28.0	1.0	1.0	1.0	0.0	0.0	
201	30.0	1.0	1.0	0.0	0.0	1.0	
202	28.0	1.0	1.0	1.0	0.0	0.0	
203	28.0	1.0	1.0	0.0	1.0	0.0	
204	30.0	1.0	1.0	0.0	0.0	1.0	
205	28.0	1.0	1.0	1.0	0.0	0.0	
206	30.0	1.0	1.0	0.0	0.0	1.0	
207	28.0	1.0	1.0	1.0	0.0	0.0	
208	28.0	1.0	1.0	0.0	1.0	0.0	
209	30.0	1.0	1.0	0.0	0.0	1.0	
210	30.0	1.0	1.0	0.0	0.0	1.0	
211	28.0	1.0	1.0	0.0	1.0	0.0	
212	30.0	1.0	1.0	0.0	0.0	1.0	
213	30.0	1.0	1.0	0.0	0.0	1.0	
214	30.0	1.0	1.0	0.0	0.0	1.0	
215	28.0	1.0	1.0	0.0	1.0	0.0	
216	30.0	1.0	1.0	0.0	0.0	1.0	
217	28.0	1.0	1.0	0.0	1.0	0.0	
218	28.0	1.0	1.0	0.0	1.0	0.0	
219	28.0	1.0	1.0	0.0	1.0	0.0	
220	28.0	1.0	1.0	1.0	0.0	0.0	
221	28.0	1.0	1.0	0.0	1.0	0.0	
222	30.0	1.0	1.0	0.0	0.0	1.0	
223	30.0	1.0	1.0	0.0	0.0	1.0	
224	28.0	1.0	1.0	1.0	0.0	0.0	
225	30.0	1.0	1.0	0.0	0.0	1.0	
226	28.0	1.0	1.0	0.0	1.0	0.0	
227	28.0	1.0	1.0	0.0	1.0	0.0	
228	28.0	1.0	1.0	0.0	1.0	0.0	
229	28.0	1.0	1.0	0.0	1.0	0.0	
230	28.0	1.0	1.0	0.0	1.0	0.0	
231	28.0	1.0	1.0	0.0	1.0	0.0	
232	30.0	1.0	1.0	0.0	0.0	1.0	
233	28.0	1.0	1.0	0.0	1.0	0.0	
234	28.0	1.0	1.0	0.0	1.0	0.0	
235	30.0	1.0	1.0	0.0	0.0	1.0	
236	28.0	1.0	1.0	1.0	0.0	0.0	
237	30.0	1.0	1.0	0.0	0.0	1.0	
238	28.0	1.0	1.0	0.0	1.0	0.0	
239	30.0	1.0	1.0	0.0	0.0	1.0	
240	28.0	1.0	1.0	1.0	0.0	0.0	
241	28.0	1.0	1.0	0.0	1.0	0.0	
242	28.0	1.0	1.0	0.0	1.0	0.0	
243	30.0	1.0	1.0	0.0	0.0	1.0	
244	30.0	1.0	1.0	0.0	0.0	1.0	
245	28.0	1.0	1.0	1.0	0.0	0.0	
246	28.0	1.0	1.0	0.0	1.0	0.0	
247	28.0	1.0	1.0	1.0	0.0	0.0	
248	28.0	1.0	1.0	0.0	1.0	0.0	
249	30.0	1.0	1.0	0.0	0.0	1.0	
250	28.0	1.0	1.0	0.0	1.0	0.0	
