Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
321	28.0	1.0	0.0	0.0	
322	28.0	0.0	0.0	1.0	
323	28.0	0.0	0.0	1.0	
324	28.0	0.0	0.0	1.0	
325	28.0	1.0	0.0	0.0	
326	28.0	1.0	0.0	0.0	
327	30.0	0.0	1.0	0.0	
328	30.0	0.0	1.0	0.0	
329	28.0	0.0	0.0	1.0	
330	28.0	1.0	0.0	0.0	
331	28.0	1.0	0.0	0.0	
332	28.0	1.0	0.0	0.0	
333	28.0	1.0	0.0	0.0	
334	28.0	1.0	0.0	0.0	
335	28.0	1.0	0.0	0.0	
336	28.0	0.0	0.0	1.0	
337	28.0	0.0	0.0	1.0	
338	28.0	0.0	0.0	1.0	
339	28.0	0.0	0.0	1.0	
340	28.0	0.0	0.0	1.0	
341	28.0	1.0	0.0	0.0	
342	28.0	0.0	0.0	1.0	
343	28.0	1.0	0.0	0.0	
344	28.0	0.0	0.0	1.0	
345	30.0	0.0	1.0	0.0	
346	28.0	1.0	0.0	0.0	
347	28.0	1.0	0.0	0.0	
348	28.0	1.0	0.0	0.0	
349	28.0	1.0	0.0	0.0	
350	28.0	0.0	0.0	1.0	
351	28.0	0.0	0.0	1.0	
352	28.0	0.0	0.0	1.0	
353	28.0	0.0	0.0	1.0	
354	28.0	0.0	0.0	1.0	
355	28.0	0.0	0.0	1.0	
356	28.0	0.0	0.0	1.0	
357	30.0	0.0	1.0	0.0	
358	28.0	1.0	0.0	0.0	
359	28.0	0.0	0.0	1.0	
360	30.0	0.0	1.0	0.0	
361	30.0	0.0	1.0	0.0	
362	28.0	1.0	0.0	0.0	
363	28.0	1.0	0.0	0.0	
364	28.0	0.0	0.0	1.0	
365	28.0	1.0	0.0	0.0	
366	28.0	1.0	0.0	0.0	
367	28.0	0.0	0.0	1.0	
368	28.0	1.0	0.0	0.0	
369	30.0	0.0	1.0	0.0	
370	30.0	0.0	1.0	0.0	
371	28.0	0.0	0.0	1.0	
372	28.0	1.0	0.0	0.0	
373	28.0	0.0	0.0	1.0	
374	28.0	1.0	0.0	0.0	
375	28.0	0.0	0.0	1.0	
376	30.0	0.0	1.0	0.0	
377	28.0	1.0	0.0	0.0	
378	28.0	1.0	0.0	0.0	
379	28.0	1.0	0.0	0.0	
380	28.0	1.0	0.0	0.0	
381	28.0	1.0	0.0	0.0	
382	30.0	0.0	1.0	0.0	
383	28.0	0.0	0.0	1.0	
384	28.0	1.0	0.0	0.0	
385	28.0	1.0	0.0	0.0	
386	28.0	1.0	0.0	0.0	
387	28.0	0.0	0.0	1.0	
388	28.0	0.0	0.0	1.0	
389	28.0	1.0	0.0	0.0	
390	28.0	1.0	0.0	0.0	
