Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
86	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
87	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
88	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
89	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
90	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
91	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
92	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
93	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
94	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
95	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
96	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
97	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
98	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
99	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
100	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
101	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
102	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
103	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
104	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
105	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
106	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
107	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
108	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
109	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
110	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
111	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
112	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
113	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
114	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
115	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
116	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
117	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
118	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
119	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
120	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
121	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
122	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
123	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
124	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
125	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
126	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
127	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
128	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
129	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
130	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
131	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
132	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
133	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
134	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
