Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
91	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
92	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
93	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
94	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
95	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
96	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
97	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
98	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
99	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
100	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
101	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
102	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
103	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
104	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
105	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
106	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
107	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
108	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
109	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
110	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
111	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
112	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
113	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
114	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
115	28.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
116	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
117	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
118	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
119	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
120	28.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
121	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
122	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
123	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
124	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
125	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
126	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
127	26.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
128	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
129	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
130	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
131	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
132	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
133	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
134	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
135	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
136	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
137	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
138	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
139	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
140	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
141	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
143	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
144	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
145	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
146	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
147	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
148	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
149	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
150	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
151	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
152	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
153	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
154	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
155	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
156	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
157	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
158	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
159	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
160	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
