Sample	cat16-91.trees	cat16-91.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence15	cat16-91.sequence01_sequence05_sequence07_sequence09_sequence03_sequence08	cat16-91.sequence14_sequence11	cat16-91.sequence14_sequence11_sequence13_sequence06	cat16-91.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-91.sequence11_sequence06	cat16-91.sequence14_sequence06	
146	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
147	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
148	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
149	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
150	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
151	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
152	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
153	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
154	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
155	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
156	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
157	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
158	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
159	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
160	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
161	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
162	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
163	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
164	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
165	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
166	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
167	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
168	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
169	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
170	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
171	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
172	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
173	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
174	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
175	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
176	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
177	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
178	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
179	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
180	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
181	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
182	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
183	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
184	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
185	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
186	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
187	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
188	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
189	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
190	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
191	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
192	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
193	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
194	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
195	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
196	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
197	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
198	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
199	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
200	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
201	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
202	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
203	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
204	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
205	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
206	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
207	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
208	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
209	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
210	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
211	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
212	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
